id,elemento,precio
-6150193972236684151,a,15.0
-6150193972236684151,aa,4.0
-6150193972236684151,aa,13.0
-6150193972236684151,a,3.0
-9120451675344070327,margarita,10.0
-9120451675344070327,agua,1.0
-9120451675344070327,patatas,3.0
-9120451675344070327,helado,2.0
-6950839122180046628,Precio del Combo: (margarita+agua+alitas de pollo+helado),15.3
-4922482105954432299,margarita,10.0
-4922482105954432299,agua,1.0
-4922482105954432299,alitas de pollo,5.0
-4922482105954432299,helado,2.0
-815055339259743779,Precio del Combo: (a+aa+aa+a),29.75
